date,running_total
Mon Jan 18 2016 22:29:22 GMT-0800 (PST),3
Tue Jan 19 2016 16:24:45 GMT-0800 (PST),4
Sun Jan 24 2016 16:19:09 GMT-0800 (PST),5
Sun Jan 24 2016 16:21:14 GMT-0800 (PST),6
Sun Jan 24 2016 17:45:44 GMT-0800 (PST),9
Sun Jan 24 2016 21:06:38 GMT-0800 (PST),29
Sun Jan 24 2016 21:12:06 GMT-0800 (PST),49
Sun Jan 24 2016 21:14:17 GMT-0800 (PST),50
Sun Jan 24 2016 21:15:02 GMT-0800 (PST),51
Sun Jan 24 2016 21:15:40 GMT-0800 (PST),52
Sun Jan 24 2016 21:17:11 GMT-0800 (PST),53
Sun Jan 24 2016 21:20:43 GMT-0800 (PST),56
Sun Jan 24 2016 22:06:42 GMT-0800 (PST),57
Sun Jan 24 2016 22:15:42 GMT-0800 (PST),58
Sun Jan 24 2016 22:15:43 GMT-0800 (PST),59
Sun Jan 24 2016 22:18:22 GMT-0800 (PST),60
Sun Jan 24 2016 22:28:06 GMT-0800 (PST),61
Sun Jan 24 2016 22:29:38 GMT-0800 (PST),62
Sun Jan 24 2016 22:41:36 GMT-0800 (PST),63
Sun Jan 24 2016 23:32:47 GMT-0800 (PST),64
Sun Jan 24 2016 23:33:38 GMT-0800 (PST),65
Sun Jan 24 2016 23:33:40 GMT-0800 (PST),66
Sun Jan 24 2016 23:33:46 GMT-0800 (PST),67
Sun Jan 24 2016 23:33:53 GMT-0800 (PST),68
Sun Jan 24 2016 23:33:55 GMT-0800 (PST),69
Sun Jan 24 2016 23:33:58 GMT-0800 (PST),70
Sun Jan 24 2016 23:34:43 GMT-0800 (PST),71
Mon Jan 25 2016 00:03:09 GMT-0800 (PST),72
Mon Jan 25 2016 00:03:10 GMT-0800 (PST),73
Mon Jan 25 2016 08:58:35 GMT-0800 (PST),74
Mon Jan 25 2016 08:59:59 GMT-0800 (PST),77
Mon Jan 25 2016 09:01:35 GMT-0800 (PST),78
Mon Jan 25 2016 09:04:38 GMT-0800 (PST),81
Mon Jan 25 2016 10:14:36 GMT-0800 (PST),82
Mon Jan 25 2016 10:14:38 GMT-0800 (PST),83
Mon Jan 25 2016 10:20:37 GMT-0800 (PST),84
Mon Jan 25 2016 10:20:38 GMT-0800 (PST),85
Mon Jan 25 2016 12:15:03 GMT-0800 (PST),86
Mon Jan 25 2016 15:51:07 GMT-0800 (PST),87
Mon Jan 25 2016 18:58:38 GMT-0800 (PST),88
Mon Jan 25 2016 18:58:40 GMT-0800 (PST),89
Mon Jan 25 2016 19:26:20 GMT-0800 (PST),90
Mon Jan 25 2016 19:26:21 GMT-0800 (PST),91
Mon Jan 25 2016 22:45:39 GMT-0800 (PST),92
Mon Jan 25 2016 22:47:50 GMT-0800 (PST),93
Mon Jan 25 2016 22:47:52 GMT-0800 (PST),94
Mon Jan 25 2016 23:09:17 GMT-0800 (PST),95
Tue Jan 26 2016 09:20:38 GMT-0800 (PST),96
Tue Jan 26 2016 09:20:39 GMT-0800 (PST),97
Tue Jan 26 2016 09:22:42 GMT-0800 (PST),98
Tue Jan 26 2016 09:22:43 GMT-0800 (PST),99
Tue Jan 26 2016 09:32:49 GMT-0800 (PST),100
Tue Jan 26 2016 09:32:50 GMT-0800 (PST),101
Tue Jan 26 2016 09:33:52 GMT-0800 (PST),102
Tue Jan 26 2016 09:33:54 GMT-0800 (PST),103
Tue Jan 26 2016 09:49:25 GMT-0800 (PST),104
Tue Jan 26 2016 09:49:25 GMT-0800 (PST),105
Tue Jan 26 2016 10:16:46 GMT-0800 (PST),106
Tue Jan 26 2016 10:16:49 GMT-0800 (PST),107
Tue Jan 26 2016 10:47:27 GMT-0800 (PST),108
Tue Jan 26 2016 10:47:32 GMT-0800 (PST),109
Tue Jan 26 2016 11:05:30 GMT-0800 (PST),110
Tue Jan 26 2016 11:06:26 GMT-0800 (PST),111
Tue Jan 26 2016 11:07:18 GMT-0800 (PST),112
Tue Jan 26 2016 11:19:49 GMT-0800 (PST),113
Tue Jan 26 2016 11:25:03 GMT-0800 (PST),114
Tue Jan 26 2016 11:26:39 GMT-0800 (PST),115
Tue Jan 26 2016 11:26:45 GMT-0800 (PST),116
Tue Jan 26 2016 11:52:02 GMT-0800 (PST),119
Tue Jan 26 2016 12:30:04 GMT-0800 (PST),120
Tue Jan 26 2016 12:30:57 GMT-0800 (PST),121
Tue Jan 26 2016 15:10:26 GMT-0800 (PST),122
Wed Jan 27 2016 15:28:30 GMT-0800 (PST),123
Wed Jan 27 2016 15:28:32 GMT-0800 (PST),124
Wed Jan 27 2016 15:28:36 GMT-0800 (PST),125
Wed Jan 27 2016 15:28:47 GMT-0800 (PST),126
Wed Jan 27 2016 15:30:59 GMT-0800 (PST),129
Thu Jan 28 2016 09:19:52 GMT-0800 (PST),130
Thu Jan 28 2016 11:02:09 GMT-0800 (PST),133
Thu Jan 28 2016 11:02:37 GMT-0800 (PST),134
Thu Jan 28 2016 11:07:53 GMT-0800 (PST),137
Thu Jan 28 2016 11:54:13 GMT-0800 (PST),138
Thu Jan 28 2016 11:57:52 GMT-0800 (PST),139
Fri Jan 29 2016 16:23:19 GMT-0800 (PST),140
Fri Jan 29 2016 16:27:20 GMT-0800 (PST),143
Fri Jan 29 2016 18:07:06 GMT-0800 (PST),163
Fri Jan 29 2016 18:16:05 GMT-0800 (PST),164
Fri Jan 29 2016 18:19:06 GMT-0800 (PST),165
